town,lat,lon
ulu bedok,1.3133412,103.9286308
victoria park,1.319686,103.8026423
watten estate,1.3302458,103.8101397
watten park,1.3267547,103.808071
wessex estate,1.297469,103.7949789
windsor park estate,1.3575629,103.8261572
woodlands,1.436897,103.786216
woodlands north coast,1.4494669,103.7821272
woodleigh park,1.3410941,103.8666
woollerton park,1.3160521,103.8084465
yan kit,1.27638,103.8423278
yew tee,1.3974608,103.7474009
yio chu kang,1.3817905,103.8449359
